source_url	parsed_url
https://regex101.com/	https://regex101.com/
https://regex101.com/	http://enable-javascript.com/
https://regex101.com/	https://github.com/firasdib/Regex101/wiki
https://regex101.com/	https://regex101.com/static/assets/apple-icon-60x60.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-57x57.png
https://regex101.com/	https://www.paypal.com/cgi-bin/webscr?cmd=_donations&amp;business=firas%2edib%40gmail%2ecom&amp;lc=US&amp;item_name=Regex101&amp;no_note=0&amp;currency_code=USD&amp;bn=PP%2dDonationsBF%3abtn_donate_SM%2egif%3aNonHostedGuest
https://regex101.com/	https://regex101.com/static/assets/apple-icon-120x120.png
https://regex101.com/	mailto:contact@regex101.com
https://regex101.com/	https://regex101.com/static/assets/apple-icon-76x76.png
https://regex101.com/	https://regex101.com/static/assets/favicon-96x96.png
https://regex101.com/	https://regex101.com/static/assets/favicon-32x32.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-144x144.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-114x114.png
https://regex101.com/	https://regex101.com/tests
https://regex101.com/	https://regex101.com/static/bundle.6e9feaa1591b31ab8052.css
https://regex101.com/	https://regex101.com/static/assets/apple-icon-152x152.png
https://regex101.com/	https://twitter.com/regex101
https://regex101.com/	https://regex101.com/static/assets/favicon-16x16.png
https://regex101.com/	https://regex101.com/static/assets/android-icon-192x192.png
https://regex101.com/	https://regex101.com/static/assets/favicon.ico
https://regex101.com/	https://github.com/firasdib/Regex101/issues
https://regex101.com/	https://regex101.com/static/assets/apple-icon-72x72.png
https://regex101.com/	https://regex101.com/static/assets/apple-icon-180x180.png
https://1.1.1.1/	https://1.1.1.1/faq/
https://1.1.1.1/	https://1.1.1.1/
https://1.1.1.1/	https://twitter.com/intent/tweet?text=%E2%9C%8C%EF%B8%8F%E2%9C%8C%EF%B8%8F%20Fast%2C%20safe%2C%20and%20private%20internet%20is%20here.%20Setup%20the%201.1.1.1%20DNS%20Resolver%20in%20less%20than%20two%20minutes.&amp;hashtags=1dot1dot1dot1&amp;url=https%3A%2F%2F1.1.1.1
https://1.1.1.1/	https://blog.cloudflare.com/announcing-1111/
https://1.1.1.1/	https://1.1.1.1/#path-48
https://1.1.1.1/	https://1.1.1.1/#New_Gradient_Swatch_6
https://1.1.1.1/	https://1.1.1.1/zh-Hans/
https://1.1.1.1/	https://www.cloudflare.com/terms/
https://1.1.1.1/	https://1.1.1.1/purge-cache/
https://1.1.1.1/	https://1.1.1.1/site-58b621aabefd86e9e1a1.css
https://1.1.1.1/	https://1.1.1.1/#New_Gradient_Swatch_8
https://1.1.1.1/	https://1.1.1.1/#New_Gradient_Swatch_7
https://1.1.1.1/	https://developers.cloudflare.com/1.1.1.1/dns-over-https/
https://1.1.1.1/	https://1.1.1.1/id-ID/
https://1.1.1.1/	https://1.1.1.1/fr-FR/
https://1.1.1.1/	https://www.cloudflare.com/privacypolicy/
https://1.1.1.1/	https://labs.apnic.net/?p=1127
https://1.1.1.1/	https://1.1.1.1/#explanation
https://1.1.1.1/	https://1.1.1.1/#linear-gradient-4
https://1.1.1.1/	https://1.1.1.1/cdn-cgi/l/email-protection#3d024e485f57585e490018780f18047e18057e18787b187f0518057b18780f18047e18057e18787b187f0518057b180f0d7f4f524a4e58180f0d5c180f0d5b5c4e49584f180f7e180f0d50524f58180f0d4d4f544b5c4958180f0d545349584f535849180f0d18780f18050d180409180f0d0c130c130c130c180f0d79736e180f0d6f584e52514b584f1b5c504d065f5259440018780f18050d18047e0c130c130c130c18780f18050d180479180f0d505c56584e180f0d545349584f535849180f0d5f4f524a4e54535a180f0d5b5c4e49584f180f0d5c5359180f0d50524f58180f0d4d4f544b5c495813180f0d7e55585e56180f0d524849180f0d5549494d4e180e7c180f7b180f7b0c130c130c130c180f0d5b524f180f0d50524f58180f0d54535b52180f0d5c5359180f0d55524a180f0d4952180f0d4e5849484d180f0d4452484f180f0d59584b545e58180f0d5453180f0d51584e4e180f0d49555c53180f0d494a52180f0d5054534849584e1c
https://1.1.1.1/	https://1.1.1.1/zh-Hant/
https://1.1.1.1/	https://1.1.1.1/favicon.png
https://1.1.1.1/	https://community.cloudflare.com/c/reliability/1111
https://1.1.1.1/	https://1.1.1.1/#path-26
https://1.1.1.1/	https://1.1.1.1/nl-NL/
https://1.1.1.1/	https://1.1.1.1/#path-29
https://1.1.1.1/	https://1.1.1.1/pt-BR/
https://1.1.1.1/	https://1.1.1.1/de-DE/
https://1.1.1.1/	https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2F1.1.1.1
https://1.1.1.1/	https://developers.cloudflare.com/1.1.1.1/commitment-to-privacy/privacy-policy/privacy-policy/
https://1.1.1.1/	https://1.1.1.1/ko-KR/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627?mt=8
https://1.1.1.1/	https://1.1.1.1/#linear-gradient-2
https://1.1.1.1/	https://1.1.1.1/es-ES/
https://1.1.1.1/	https://1.1.1.1/tr-TR/
https://1.1.1.1/	https://fonts.googleapis.com/css?family=Open+Sans:400,600,700
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1.1.1.1/ja-JP/
https://www.politico.com/tipsheets/morning-money	https://static3.politico.com/resource/assets/css/style-core.min.021561c7c40137d92159537f5923aa2e.gz.css
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/transportation
https://www.politico.com/tipsheets/morning-money	https://login.politico.com/_login?base=https%3A%2F%2Fwww.politico.com&amp;redirect=%2F_login&amp;logout=%2F_logout&amp;lRedirect=true&amp;sRedirect=%2Fsettings&amp;js=false
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/advertising
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/gallery
https://www.politico.com/tipsheets/morning-money	https://secure.politico.com/settings
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/health-care
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/01/16/has-trump-met-his-match-pelosi-1106624
https://www.politico.com/tipsheets/morning-money	https://www.politico.com/story/2019/01/15/waters-ocasio-cortez-finance-panel-1084027
